graph_noise_level,edge_probability,target_preferred_count,max_steps,Num_Successful_Seeds,Avg_ARI,Std_ARI,Avg_NMI,Std_NMI,Avg_Silhouette,Std_Silhouette,Error
0.2,0.15,3,60,3,0.9721907478650932,0.009477167926760274,0.9693138154012116,0.01070734066188554,0.6702186275048801,0.040383689020959006,
0.2,0.15,5,40,3,0.9778212679045444,0.024829788684481154,0.9774597301803146,0.024828842397654968,0.7437237313379654,0.028792781357645243,
0.2,0.15,5,60,3,0.9778212679045444,0.024829788684481154,0.9774597301803146,0.024828842397654968,0.7437237313379654,0.028792781357645243,
0.2,0.25,3,40,3,1.0,0.0,1.0,1.5700924586837752e-16,0.8165556206158732,0.0024498503658516198,
0.2,0.25,3,60,3,1.0,0.0,1.0,1.5700924586837752e-16,0.8165556206158732,0.0024498503658516198,
0.2,0.25,5,40,3,1.0,0.0,1.0,1.5700924586837752e-16,0.8950252342786508,0.011635539208500616,
0.2,0.25,5,60,3,1.0,0.0,1.0,1.5700924586837752e-16,0.8950252342786508,0.011635539208500616,
0.2,0.35,3,40,3,1.0,0.0,1.0,1.5700924586837752e-16,0.8708825894309902,0.008448306103714446,
0.2,0.35,3,60,3,1.0,0.0,1.0,1.5700924586837752e-16,0.8708825894309902,0.008448306103714446,
0.2,0.35,5,40,3,1.0,0.0,1.0,1.5700924586837752e-16,0.9322825111982561,0.00786278549304092,
0.2,0.35,5,60,3,1.0,0.0,1.0,1.5700924586837752e-16,0.9322825111982561,0.00786278549304092,
0.2,0.45,3,40,3,1.0,0.0,1.0,7.850462293418876e-17,0.8896064597036414,0.006612887969541843,
0.2,0.45,3,60,3,1.0,0.0,1.0,7.850462293418876e-17,0.8896064597036414,0.006612887969541843,
0.2,0.45,5,40,3,1.0,0.0,1.0,0.0,0.9505789756655859,0.0051091898783263605,
0.2,0.45,5,60,3,1.0,0.0,1.0,0.0,0.9505789756655859,0.0051091898783263605,
0.2,0.55,3,40,3,1.0,0.0,1.0,0.0,0.8978179291614103,0.0019786784796781832,
0.2,0.55,3,60,3,1.0,0.0,1.0,0.0,0.8978179291614103,0.0019786784796781832,
0.2,0.55,5,40,3,1.0,0.0,1.0,1.5700924586837752e-16,0.9607133875760878,0.0037884980573561176,
0.2,0.55,5,60,3,1.0,0.0,1.0,1.5700924586837752e-16,0.9607133875760878,0.0037884980573561176,
0.2,0.65,3,40,3,1.0,0.0,1.0,1.5700924586837752e-16,0.9017405774249386,0.005549172565064549,
0.2,0.65,3,60,3,1.0,0.0,1.0,1.5700924586837752e-16,0.9017405774249386,0.005549172565064549,
0.2,0.65,5,40,3,1.0,0.0,1.0,1.7554167342883506e-16,0.964149255700419,0.003070644002448174,
0.2,0.65,5,60,3,1.0,0.0,1.0,1.7554167342883506e-16,0.964149255700419,0.003070644002448174,
0.3,0.15,3,40,3,0.9458362524629597,0.019382892087737243,0.9429491657581693,0.01769665850981418,0.679311154017241,0.04597176588724721,
0.3,0.15,3,60,3,0.9458362524629597,0.019382892087737243,0.9429491657581693,0.01769665850981418,0.679311154017241,0.04597176588724721,
0.3,0.15,5,40,3,1.0,0.0,1.0,0.0,0.7593587991418254,0.02845190139713657,
0.3,0.15,5,60,3,1.0,0.0,1.0,0.0,0.7593587991418254,0.02845190139713657,
0.3,0.25,3,40,3,0.994648069583338,0.009269815400232058,0.9939543716505099,0.010471335464995644,0.814975735726564,0.009654184868575623,
0.3,0.25,3,60,3,0.994648069583338,0.009269815400232058,0.9939543716505099,0.010471335464995644,0.814975735726564,0.009654184868575623,
0.3,0.25,5,40,3,1.0,0.0,1.0,1.5700924586837752e-16,0.8907265779509214,0.006182275037287413,
0.3,0.25,5,60,3,1.0,0.0,1.0,1.5700924586837752e-16,0.8907265779509214,0.006182275037287413,
0.3,0.35,3,40,3,1.0,0.0,1.0,7.850462293418876e-17,0.8670731471558687,0.013163427438380644,
0.3,0.35,3,60,3,1.0,0.0,1.0,7.850462293418876e-17,0.8670731471558687,0.013163427438380644,
0.3,0.35,5,40,3,1.0,0.0,1.0,1.9229626863835638e-16,0.931979416167632,0.010256067579138158,
0.3,0.35,5,60,3,1.0,0.0,1.0,1.9229626863835638e-16,0.931979416167632,0.010256067579138158,
0.3,0.45,3,40,3,1.0,0.0,1.0,0.0,0.8953125374180035,0.0005271790483076778,
0.3,0.45,3,60,3,1.0,0.0,1.0,0.0,0.8953125374180035,0.0005271790483076778,
0.3,0.45,5,40,3,1.0,0.0,1.0,0.0,0.9536522098544248,0.007036832118145013,
0.3,0.45,5,60,3,1.0,0.0,1.0,0.0,0.9536522098544248,0.007036832118145013,
