,Seed,Linkage Method,Cluster Color Percentage,Number of Clusters
99,24,ward,"{1: {'green': 87.1, 'red': 12.9}, 2: {'green': 8.16, 'red': 91.84}}",2
100,25,single,"{1: {'green': 87.88, 'red': 12.12}, 2: {'green': 13.11, 'red': 86.89}}",2
101,25,complete,"{1: {'green': 39.36, 'red': 60.64}, 2: {}}",2
102,25,average,"{1: {'green': 87.88, 'red': 12.12}, 2: {'green': 13.11, 'red': 86.89}}",2
103,25,ward,"{1: {'green': 87.88, 'red': 12.12}, 2: {'green': 13.11, 'red': 86.89}}",2
104,26,single,"{1: {'green': 66.67, 'red': 33.33}, 2: {'green': 0.97, 'red': 99.03}}",2
105,26,complete,"{1: {'green': 66.67, 'red': 33.33}, 2: {'green': 0.97, 'red': 99.03}}",2
106,26,average,"{1: {'green': 66.67, 'red': 33.33}, 2: {'green': 0.97, 'red': 99.03}}",2
107,26,ward,"{1: {'green': 66.67, 'red': 33.33}, 2: {'green': 0.97, 'red': 99.03}}",2
108,27,single,"{1: {'green': 33.33, 'red': 66.67}, 2: {'green': 100.0}}",2
109,27,complete,"{1: {'green': 73.08, 'red': 26.92}, 2: {}}",2
110,27,average,"{1: {'green': 33.33, 'red': 66.67}, 2: {'green': 100.0}}",2
111,27,ward,"{1: {'green': 33.33, 'red': 66.67}, 2: {'green': 100.0}}",2
112,28,single,"{1: {'green': 66.67, 'red': 33.33}, 2: {'green': 1.82, 'red': 98.18}}",2
113,28,complete,"{1: {'green': 66.67, 'red': 33.33}, 2: {'green': 1.82, 'red': 98.18}}",2
114,28,average,"{1: {'green': 66.67, 'red': 33.33}, 2: {'green': 1.82, 'red': 98.18}}",2
115,28,ward,"{1: {'green': 66.67, 'red': 33.33}, 2: {'green': 1.82, 'red': 98.18}}",2
116,29,single,"{1: {'green': 77.14, 'red': 22.86}, 2: {'green': 1.59, 'red': 98.41}}",2
117,29,complete,"{1: {'green': 28.57, 'red': 71.43}, 2: {}}",2
118,29,average,"{1: {'green': 77.14, 'red': 22.86}, 2: {'green': 1.59, 'red': 98.41}}",2
119,29,ward,"{1: {'green': 77.14, 'red': 22.86}, 2: {'green': 1.59, 'red': 98.41}}",2
120,30,single,"{1: {'green': 16.67, 'red': 83.33}, 2: {'green': 96.77, 'red': 3.23}}",2
121,30,complete,"{1: {'green': 59.48, 'red': 40.52}, 2: {}}",2
122,30,average,"{1: {'green': 16.67, 'red': 83.33}, 2: {'green': 96.77, 'red': 3.23}}",2
123,30,ward,"{1: {'green': 16.67, 'red': 83.33}, 2: {'green': 96.77, 'red': 3.23}}",2
124,31,single,"{1: {'green': 82.61, 'red': 17.39}, 2: {'green': 4.69, 'red': 95.31}}",2
125,31,complete,"{1: {'green': 37.27, 'red': 62.73}, 2: {}}",2
126,31,average,"{1: {'green': 82.61, 'red': 17.39}, 2: {'green': 4.69, 'red': 95.31}}",2
127,31,ward,"{1: {'green': 82.61, 'red': 17.39}, 2: {'green': 4.69, 'red': 95.31}}",2
128,32,single,"{1: {'green': 13.11, 'red': 86.89}, 2: {'green': 89.66, 'red': 10.34}}",2
129,32,complete,"{1: {'green': 13.11, 'red': 86.89}, 2: {'green': 89.66, 'red': 10.34}}",2
130,32,average,"{1: {'green': 13.11, 'red': 86.89}, 2: {'green': 89.66, 'red': 10.34}}",2
131,32,ward,"{1: {'green': 13.11, 'red': 86.89}, 2: {'green': 89.66, 'red': 10.34}}",2
132,33,single,"{1: {'green': 31.71, 'red': 68.29}, 2: {'green': 100.0}}",2
133,33,complete,"{1: {'green': 77.6, 'red': 22.4}, 2: {}}",2
134,33,average,"{1: {'green': 31.71, 'red': 68.29}, 2: {'green': 100.0}}",2
135,33,ward,"{1: {'green': 31.71, 'red': 68.29}, 2: {'green': 100.0}}",2
136,34,single,"{1: {'green': 3.23, 'red': 96.77}, 2: {'green': 89.47, 'red': 10.53}}",2
137,34,complete,"{1: {'green': 89.47, 'red': 10.53}, 2: {'green': 3.23, 'red': 96.77}}",2
138,34,average,"{1: {'green': 89.47, 'red': 10.53}, 2: {'green': 3.23, 'red': 96.77}}",2
139,34,ward,"{1: {'green': 89.47, 'red': 10.53}, 2: {'green': 3.23, 'red': 96.77}}",2
140,35,single,"{1: {'green': 96.97, 'red': 3.03}, 2: {'green': 16.22, 'red': 83.78}}",2
141,35,complete,"{1: {'green': 16.22, 'red': 83.78}, 2: {'green': 96.97, 'red': 3.03}}",2
142,35,average,"{1: {'green': 96.97, 'red': 3.03}, 2: {'green': 16.22, 'red': 83.78}}",2
143,35,ward,"{1: {'green': 96.97, 'red': 3.03}, 2: {'green': 16.22, 'red': 83.78}}",2
144,36,single,"{1: {'green': 93.02, 'red': 6.98}, 2: {'green': 10.87, 'red': 89.13}}",2
145,36,complete,"{1: {'green': 10.87, 'red': 89.13}, 2: {'green': 93.02, 'red': 6.98}}",2
146,36,average,"{1: {'green': 10.87, 'red': 89.13}, 2: {'green': 93.02, 'red': 6.98}}",2
147,36,ward,"{1: {'green': 10.87, 'red': 89.13}, 2: {'green': 93.02, 'red': 6.98}}",2
148,37,single,"{1: {'green': 19.51, 'red': 80.49}, 2: {'green': 90.7, 'red': 9.3}}",2
149,37,complete,"{1: {'green': 55.95, 'red': 44.05}, 2: {}}",2
150,37,average,"{1: {'green': 19.51, 'red': 80.49}, 2: {'green': 90.7, 'red': 9.3}}",2
151,37,ward,"{1: {'green': 19.51, 'red': 80.49}, 2: {'green': 90.7, 'red': 9.3}}",2
152,38,single,"{1: {'green': 21.95, 'red': 78.05}, 2: {'green': 97.56, 'red': 2.44}}",2
