,Seed,Linkage Method,Color Distribution,Number of Clusters
102,25,average,"Colors_String  green, green, green  green, green, green, green  \
Cluster                                                          
1                                1                           1   
2                                0                           0   

Colors_String  green, red, red, red  green, red, red, red, red, red  \
Cluster                                                               
1                                 0                               0   
2                                 1                               4   

Colors_String  red, green, green, green, green, green  red, red, red  \
Cluster                                                                
1                                                   3              0   
2                                                   0              2   

Colors_String  red, red, red, red  
Cluster                            
1                               0  
2                               2  ",2
103,25,ward,"Colors_String  green, green, green  green, green, green, green  \
Cluster                                                          
1                                1                           1   
2                                0                           0   

Colors_String  green, red, red, red  green, red, red, red, red, red  \
Cluster                                                               
1                                 0                               0   
2                                 1                               4   

Colors_String  red, green, green, green, green, green  red, red, red  \
Cluster                                                                
1                                                   3              0   
2                                                   0              2   

Colors_String  red, red, red, red  
Cluster                            
1                               0  
2                               2  ",2
104,26,single,"Colors_String  red  red, green  red, red  red, red, red  red, red, red, red  \
Cluster                                                                       
1                1          14         3              1                   6   

Colors_String  red, red, red, red, red  red, red, red, red, red, red  \
Cluster                                                                
1                                    5                             3   

Colors_String  red, red, red, red, red, red, red  
Cluster                                           
1                                              4  ",2
105,26,complete,"Colors_String  red  red, green  red, red  red, red, red  red, red, red, red  \
Cluster                                                                       
1                1          14         3              1                   6   

Colors_String  red, red, red, red, red  red, red, red, red, red, red  \
Cluster                                                                
1                                    5                             3   

Colors_String  red, red, red, red, red, red, red  
Cluster                                           
1                                              4  ",2
106,26,average,"Colors_String  red  red, green  red, red  red, red, red  red, red, red, red  \
Cluster                                                                       
1                0           7         0              0                   0   
2                1           7         3              1                   6   

Colors_String  red, red, red, red, red  red, red, red, red, red, red  \
Cluster                                                                
1                                    0                             0   
2                                    5                             3   

Colors_String  red, red, red, red, red, red, red  
Cluster                                           
1                                              0  
2                                              4  ",2
107,26,ward,"Colors_String  red  red, green  red, red  red, red, red  red, red, red, red  \
Cluster                                                                       
1                1           0         3              1                   6   
2                0          14         0              0                   0   

Colors_String  red, red, red, red, red  red, red, red, red, red, red  \
Cluster                                                                
1                                    5                             3   
2                                    0                             0   

Colors_String  red, red, red, red, red, red, red  
Cluster                                           
1                                              4  
2                                              0  ",2
108,27,single,"Colors_String  green, green  green, green, green, green  \
Cluster                                                   
1                         0                           0   
2                         2                           4   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green, green  \
Cluster                                                          
1                                                            0   
2                                                            3   

Colors_String  green, red, red  \
Cluster                          
1                           14   
2                            0   

Colors_String  red, green, green, green, green, green, green, green  \
Cluster                                                               
1                                                              0      
2                                                              1      

Colors_String  red, green, green, green, green, green, green, green, green  
Cluster                                                                     
1                                                              0            
2                                                              1            ",2
109,27,complete,"Colors_String  green, green  green, green, green, green  \
Cluster                                                   
1                         2                           4   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              1   

Colors_String  green, green, green, green, green, green, green  \
Cluster                                                          
1                                                            3   

Colors_String  green, red, red  \
Cluster                          
1                           14   

Colors_String  red, green, green, green, green, green, green, green  \
Cluster                                                               
1                                                              1      

Colors_String  red, green, green, green, green, green, green, green, green  
Cluster                                                                     
1                                                              1            ",2
110,27,average,"Colors_String  green, green  green, green, green, green  \
Cluster                                                   
1                         0                           0   
2                         2                           4   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green, green  \
Cluster                                                          
1                                                            0   
2                                                            3   

Colors_String  green, red, red  \
Cluster                          
1                           14   
2                            0   

Colors_String  red, green, green, green, green, green, green, green  \
Cluster                                                               
1                                                              0      
2                                                              1      

Colors_String  red, green, green, green, green, green, green, green, green  
Cluster                                                                     
1                                                              0            
2                                                              1            ",2
111,27,ward,"Colors_String  green, green  green, green, green, green  \
Cluster                                                   
1                         0                           0   
2                         2                           4   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green, green  \
Cluster                                                          
1                                                            0   
2                                                            3   

Colors_String  green, red, red  \
Cluster                          
1                           14   
2                            0   

Colors_String  red, green, green, green, green, green, green, green  \
Cluster                                                               
1                                                              0      
2                                                              1      

Colors_String  red, green, green, green, green, green, green, green, green  
Cluster                                                                     
1                                                              0            
2                                                              1            ",2
112,28,single,"Colors_String  red  red, green, green  red, red  red, red, red, red  \
Cluster                                                               
1                0                  8         0                   0   
2                8                  0         1                   1   

Colors_String  red, red, red, red, red  red, red, red, red, red, red  \
Cluster                                                                
1                                    0                             0   
2                                    2                             1   

Colors_String  red, red, red, red, red, red, red  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  red, red, red, red, red, red, red, red  
Cluster                                                
1                                                   0  
2                                                   2  ",2
113,28,complete,"Colors_String  red  red, green, green  red, red  red, red, red, red  \
Cluster                                                               
1                8                  8         1                   1   

Colors_String  red, red, red, red, red  red, red, red, red, red, red  \
Cluster                                                                
1                                    2                             1   

Colors_String  red, red, red, red, red, red, red  \
Cluster                                            
1                                              1   

Colors_String  red, red, red, red, red, red, red, red  
Cluster                                                
1                                                   2  ",2
114,28,average,"Colors_String  red  red, green, green  red, red  red, red, red, red  \
Cluster                                                               
1                0                  8         0                   0   
2                8                  0         1                   1   

Colors_String  red, red, red, red, red  red, red, red, red, red, red  \
Cluster                                                                
1                                    0                             0   
2                                    2                             1   

Colors_String  red, red, red, red, red, red, red  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  red, red, red, red, red, red, red, red  
Cluster                                                
1                                                   0  
2                                                   2  ",2
115,28,ward,"Colors_String  red  red, green, green  red, red  red, red, red, red  \
Cluster                                                               
1                0                  8         0                   0   
2                8                  0         1                   1   

Colors_String  red, red, red, red, red  red, red, red, red, red, red  \
Cluster                                                                
1                                    0                             0   
2                                    2                             1   

Colors_String  red, red, red, red, red, red, red  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  red, red, red, red, red, red, red, red  
Cluster                                                
1                                                   0  
2                                                   2  ",2
116,29,single,"Colors_String  green, green, green  red, green, green, green  red, red  \
Cluster                                                                  
1                                1                         9         0   
2                                0                         0         2   

Colors_String  red, red, red  red, red, red, red, red  \
Cluster                                                 
1                          0                        0   
2                          5                        4   

Colors_String  red, red, red, red, red, red  red, red, red, red, red, red, red  
Cluster                                                                         
1                                         0                                  0  
2                                         1                                  1  ",2
117,29,complete,"Colors_String  green, green, green  red, green, green, green  red, red  \
Cluster                                                                  
1                                1                         9         2   

Colors_String  red, red, red  red, red, red, red, red  \
Cluster                                                 
1                          5                        4   

Colors_String  red, red, red, red, red, red  red, red, red, red, red, red, red  
Cluster                                                                         
1                                         1                                  1  ",2
118,29,average,"Colors_String  green, green, green  red, green, green, green  red, red  \
Cluster                                                                  
1                                1                         9         0   
2                                0                         0         2   

Colors_String  red, red, red  red, red, red, red, red  \
Cluster                                                 
1                          0                        0   
2                          5                        4   

Colors_String  red, red, red, red, red, red  red, red, red, red, red, red, red  
Cluster                                                                         
1                                         0                                  0  
2                                         1                                  1  ",2
119,29,ward,"Colors_String  green, green, green  red, green, green, green  red, red  \
Cluster                                                                  
1                                1                         9         0   
2                                0                         0         2   

Colors_String  red, red, red  red, red, red, red, red  \
Cluster                                                 
1                          0                        0   
2                          5                        4   

Colors_String  red, red, red, red, red, red  red, red, red, red, red, red, red  
Cluster                                                                         
1                                         0                                  0  
2                                         1                                  1  ",2
120,30,single,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         2                    3                           2   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green  green, red, red, red  \
Cluster                                                                         
1                                                     0                     3   
2                                                     1                     0   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                     10   
2                                      0   

Colors_String  red, green, green, green, green, green  \
Cluster                                                 
1                                                   0   
2                                                   1   

Colors_String  red, green, green, green, green, green, green  red, red, red  \
Cluster                                                                       
1                                                          0              2   
2                                                          1              0   

Colors_String  red, red, red, red  
Cluster                            
1                               1  
2                               0  ",2
121,30,complete,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         2                    3                           2   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              1   

Colors_String  green, green, green, green, green, green  green, red, red, red  \
Cluster                                                                         
1                                                     1                     3   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                     10   

Colors_String  red, green, green, green, green, green  \
Cluster                                                 
1                                                   1   

Colors_String  red, green, green, green, green, green, green  red, red, red  \
Cluster                                                                       
1                                                          1              2   

Colors_String  red, red, red, red  
Cluster                            
1                               1  ",2
122,30,average,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         2                    3                           2   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green  green, red, red, red  \
Cluster                                                                         
1                                                     0                     3   
2                                                     1                     0   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                     10   
2                                      0   

Colors_String  red, green, green, green, green, green  \
Cluster                                                 
1                                                   0   
2                                                   1   

Colors_String  red, green, green, green, green, green, green  red, red, red  \
Cluster                                                                       
1                                                          0              2   
2                                                          1              0   

Colors_String  red, red, red, red  
Cluster                            
1                               1  
2                               0  ",2
123,30,ward,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         2                    3                           2   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              1   

Colors_String  green, green, green, green, green, green  green, red, red, red  \
Cluster                                                                         
1                                                     0                     3   
2                                                     1                     0   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                     10   
2                                      0   

Colors_String  red, green, green, green, green, green  \
Cluster                                                 
1                                                   0   
2                                                   1   

Colors_String  red, green, green, green, green, green, green  red, red, red  \
Cluster                                                                       
1                                                          0              2   
2                                                          1              0   

Colors_String  red, red, red, red  
Cluster                            
1                               1  
2                               0  ",2
124,31,single,"Colors_String  green, green  green, green, green  green, red, red, red, red  \
Cluster                                                                       
1                         0                    0                          1   
2                         1                    2                          0   

Colors_String  green, red, red, red, red, red, red  red, green, green, green  \
Cluster                                                                        
1                                                1                         0   
2                                                0                         1   

Colors_String  red, green, green, green, green  red, red, red  \
Cluster                                                         
1                                            0              3   
2                                            8              0   

Colors_String  red, red, red, red  red, red, red, red, red  \
Cluster                                                      
1                               1                        1   
2                               0                        0   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         2  
2                                         0  ",2
125,31,complete,"Colors_String  green, green  green, green, green  green, red, red, red, red  \
Cluster                                                                       
1                         1                    2                          0   
2                         0                    0                          1   

Colors_String  green, red, red, red, red, red, red  red, green, green, green  \
Cluster                                                                        
1                                                0                         1   
2                                                1                         0   

Colors_String  red, green, green, green, green  red, red, red  \
Cluster                                                         
1                                            8              0   
2                                            0              3   

Colors_String  red, red, red, red  red, red, red, red, red  \
Cluster                                                      
1                               0                        0   
2                               1                        1   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         0  
2                                         2  ",2
126,31,average,"Colors_String  green, green  green, green, green  green, red, red, red, red  \
Cluster                                                                       
1                         0                    0                          1   
2                         1                    2                          0   

Colors_String  green, red, red, red, red, red, red  red, green, green, green  \
Cluster                                                                        
1                                                1                         0   
2                                                0                         1   

Colors_String  red, green, green, green, green  red, red, red  \
Cluster                                                         
1                                            0              3   
2                                            8              0   

Colors_String  red, red, red, red  red, red, red, red, red  \
Cluster                                                      
1                               1                        1   
2                               0                        0   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         2  
2                                         0  ",2
127,31,ward,"Colors_String  green, green  green, green, green  green, red, red, red, red  \
Cluster                                                                       
1                         0                    0                          1   
2                         1                    2                          0   

Colors_String  green, red, red, red, red, red, red  red, green, green, green  \
Cluster                                                                        
1                                                1                         0   
2                                                0                         1   

Colors_String  red, green, green, green, green  red, red, red  \
Cluster                                                         
1                                            0              3   
2                                            8              0   

Colors_String  red, red, red, red  red, red, red, red, red  \
Cluster                                                      
1                               1                        1   
2                               0                        0   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         2  
2                                         0  ",2
128,32,single,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         1                    2                           2   
2                         0                    0                           0   

Colors_String  green, red, red, red  green, red, red, red, red  \
Cluster                                                          
1                                 0                          0   
2                                 1                          1   

Colors_String  green, red, red, red, red, red  \
Cluster                                         
1                                           0   
2                                           3   

Colors_String  red, green, green, green, green  \
Cluster                                          
1                                            1   
2                                            0   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   3         0   
2                                                   0         1   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          0                   0  
2                          1                   3  ",2
129,32,complete,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         1                    2                           2   

Colors_String  green, red, red, red  green, red, red, red, red  \
Cluster                                                          
1                                 1                          1   

Colors_String  green, red, red, red, red, red  \
Cluster                                         
1                                           3   

Colors_String  red, green, green, green, green  \
Cluster                                          
1                                            1   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   3         1   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          1                   3  ",2
130,32,average,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         1                    2                           2   
2                         0                    0                           0   

Colors_String  green, red, red, red  green, red, red, red, red  \
Cluster                                                          
1                                 0                          0   
2                                 1                          1   

Colors_String  green, red, red, red, red, red  \
Cluster                                         
1                                           0   
2                                           3   

Colors_String  red, green, green, green, green  \
Cluster                                          
1                                            1   
2                                            0   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   3         0   
2                                                   0         1   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          0                   0  
2                          1                   3  ",2
131,32,ward,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         1                    2                           2   

Colors_String  green, red, red, red  green, red, red, red, red  \
Cluster                                                          
1                                 1                          1   
2                                 0                          0   

Colors_String  green, red, red, red, red, red  \
Cluster                                         
1                                           3   
2                                           0   

Colors_String  red, green, green, green, green  \
Cluster                                          
1                                            0   
2                                            1   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   0         1   
2                                                   3         0   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          1                   3  
2                          0                   0  ",2
132,33,single,"Colors_String  green, green  green, green, green  \
Cluster                                            
1                         0                    0   
2                         1                    5   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              4   

Colors_String  green, green, green, green, green, green  \
Cluster                                                   
1                                                     0   
2                                                     1   

Colors_String  green, green, green, green, green, green, green  \
Cluster                                                          
1                                                            0   
2                                                            2   

Colors_String  green, red, red  red, red  
Cluster                                   
1                           15         1  
2                            0         0  ",2
133,33,complete,"Colors_String  green, green  green, green, green  \
Cluster                                            
1                         1                    5   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              4   

Colors_String  green, green, green, green, green, green  \
Cluster                                                   
1                                                     1   

Colors_String  green, green, green, green, green, green, green  \
Cluster                                                          
1                                                            2   

Colors_String  green, red, red  red, red  
Cluster                                   
1                           15         1  ",2
134,33,average,"Colors_String  green, green  green, green, green  \
Cluster                                            
1                         0                    0   
2                         1                    5   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              4   

Colors_String  green, green, green, green, green, green  \
Cluster                                                   
1                                                     0   
2                                                     1   

Colors_String  green, green, green, green, green, green, green  \
Cluster                                                          
1                                                            0   
2                                                            2   

Colors_String  green, red, red  red, red  
Cluster                                   
1                           15         1  
2                            0         0  ",2
135,33,ward,"Colors_String  green, green  green, green, green  \
Cluster                                            
1                         0                    0   
2                         1                    5   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              4   

Colors_String  green, green, green, green, green, green  \
Cluster                                                   
1                                                     0   
2                                                     1   

Colors_String  green, green, green, green, green, green, green  \
Cluster                                                          
1                                                            0   
2                                                            2   

Colors_String  green, red, red  red, red  
Cluster                                   
1                           15         1  
2                            0         0  ",2
136,34,single,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         2                    1                           2   
2                         0                    0                           0   

Colors_String  green, red, red, red, red, red  \
Cluster                                         
1                                           0   
2                                           1   

Colors_String  red, green, green, green, green  \
Cluster                                          
1                                            2   
2                                            0   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   2         0   
2                                                   0         2   

Colors_String  red, red, red, red  red, red, red, red, red  
Cluster                                                     
1                               0                        0  
2                               2                        1  ",2
137,34,complete,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         2                    1                           2   

Colors_String  green, red, red, red, red, red  \
Cluster                                         
1                                           1   

Colors_String  red, green, green, green, green  \
Cluster                                          
1                                            2   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   2         2   

Colors_String  red, red, red, red  red, red, red, red, red  
Cluster                                                     
1                               2                        1  ",2
138,34,average,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         2                    1                           2   
2                         0                    0                           0   

Colors_String  green, red, red, red, red, red  \
Cluster                                         
1                                           0   
2                                           1   

Colors_String  red, green, green, green, green  \
Cluster                                          
1                                            2   
2                                            0   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   2         0   
2                                                   0         2   

Colors_String  red, red, red, red  red, red, red, red, red  
Cluster                                                     
1                               0                        0  
2                               2                        1  ",2
139,34,ward,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         2                    1                           2   
2                         0                    0                           0   

Colors_String  green, red, red, red, red, red  \
Cluster                                         
1                                           0   
2                                           1   

Colors_String  red, green, green, green, green  \
Cluster                                          
1                                            2   
2                                            0   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   2         0   
2                                                   0         2   

Colors_String  red, red, red, red  red, red, red, red, red  
Cluster                                                     
1                               0                        0  
2                               2                        1  ",2
140,35,single,"Colors_String  green, green, green  green, green, green, green  \
Cluster                                                          
1                                2                           2   
2                                0                           0   

Colors_String  green, green, green, green, green  green, red, red, red  \
Cluster                                                                  
1                                              1                     0   
2                                              0                     3   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      0   
2                                      4   

Colors_String  red, green, green, green, green, green, green  red, red  \
Cluster                                                                  
1                                                          1         0   
2                                                          0         2   

Colors_String  red, red, red  
Cluster                       
1                          0  
2                          1  ",2
