,Seed,Linkage Method,Color Distribution,Number of Clusters
23,5,ward,"Colors_String  green, green  green, green, green  green, green, green, green  \
Cluster                                                                        
1                         0                    0                           0   
2                         2                    1                           3   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              0   
2                                              2   

Colors_String  green, red, red, red, red, red  red, green, green, green  \
Cluster                                                                   
1                                           2                         0   
2                                           0                         2   

Colors_String  red, green, green, green, green, green  red, red  \
Cluster                                                           
1                                                   0         2   
2                                                   3         0   

Colors_String  red, red, red  red, red, red, red  
Cluster                                           
1                          2                   1  
2                          0                   0  ",2
24,6,single,"Colors_String  green, green  green, red, red, red, red, red, red  \
Cluster                                                            
1                         0                                    1   
2                         2                                    0   

Colors_String  red, green, green, green  red, green, green, green, green  \
Cluster                                                                    
1                                     0                                0   
2                                     1                                3   

Colors_String  red, red, red  red, red, red, red  red, red, red, red, red  \
Cluster                                                                     
1                          3                   4                        3   
2                          0                   0                        0   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         1  
2                                         0  ",2
25,6,complete,"Colors_String  green, green  green, red, red, red, red, red, red  \
Cluster                                                            
1                         2                                    0   
2                         0                                    1   

Colors_String  red, green, green, green  red, green, green, green, green  \
Cluster                                                                    
1                                     1                                3   
2                                     0                                0   

Colors_String  red, red, red  red, red, red, red  red, red, red, red, red  \
Cluster                                                                     
1                          0                   0                        0   
2                          3                   4                        3   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         0  
2                                         1  ",2
26,6,average,"Colors_String  green, green  green, red, red, red, red, red, red  \
Cluster                                                            
1                         0                                    1   
2                         2                                    0   

Colors_String  red, green, green, green  red, green, green, green, green  \
Cluster                                                                    
1                                     0                                0   
2                                     1                                3   

Colors_String  red, red, red  red, red, red, red  red, red, red, red, red  \
Cluster                                                                     
1                          3                   4                        3   
2                          0                   0                        0   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         1  
2                                         0  ",2
27,6,ward,"Colors_String  green, green  green, red, red, red, red, red, red  \
Cluster                                                            
1                         2                                    0   
2                         0                                    1   

Colors_String  red, green, green, green  red, green, green, green, green  \
Cluster                                                                    
1                                     1                                3   
2                                     0                                0   

Colors_String  red, red, red  red, red, red, red  red, red, red, red, red  \
Cluster                                                                     
1                          0                   0                        0   
2                          3                   4                        3   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         0  
2                                         1  ",2
28,7,single,"Colors_String  green, green, green  green, red, red, red, red, red, red  red  \
Cluster                                                                        
1                                2                                    0    0   
2                                0                                    4    1   

Colors_String  red, green, green, green, green  red, red  red, red, red  \
Cluster                                                                   
1                                            5         0              0   
2                                            0         1              2   

Colors_String  red, red, red, red  red, red, red, red, red  \
Cluster                                                      
1                               0                        0   
2                               2                        1   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         0  
2                                         1  ",2
29,7,complete,"Colors_String  green, green, green  green, red, red, red, red, red, red  red  \
Cluster                                                                        
1                                2                                    4    1   

Colors_String  red, green, green, green, green  red, red  red, red, red  \
Cluster                                                                   
1                                            5         1              2   

Colors_String  red, red, red, red  red, red, red, red, red  \
Cluster                                                      
1                               2                        1   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         1  ",2
30,7,average,"Colors_String  green, green, green  green, red, red, red, red, red, red  red  \
Cluster                                                                        
1                                2                                    0    0   
2                                0                                    4    1   

Colors_String  red, green, green, green, green  red, red  red, red, red  \
Cluster                                                                   
1                                            5         0              0   
2                                            0         1              2   

Colors_String  red, red, red, red  red, red, red, red, red  \
Cluster                                                      
1                               0                        0   
2                               2                        1   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         0  
2                                         1  ",2
31,7,ward,"Colors_String  green, green, green  green, red, red, red, red, red, red  red  \
Cluster                                                                        
1                                2                                    0    0   
2                                0                                    4    1   

Colors_String  red, green, green, green, green  red, red  red, red, red  \
Cluster                                                                   
1                                            5         0              0   
2                                            0         1              2   

Colors_String  red, red, red, red  red, red, red, red, red  \
Cluster                                                      
1                               0                        0   
2                               2                        1   

Colors_String  red, red, red, red, red, red  
Cluster                                      
1                                         0  
2                                         1  ",2
32,8,single,"Colors_String  green, green, green  green, red, red, red, red, red  \
Cluster                                                              
1                                2                               0   
2                                0                               1   

Colors_String  green, red, red, red, red, red, red  \
Cluster                                              
1                                                0   
2                                                1   

Colors_String  red, green, green, green, green  red, red  red, red, red, red  \
Cluster                                                                        
1                                            5         0                   0   
2                                            0         1                   6   

Colors_String  red, red, red, red, red  
Cluster                                 
1                                    0  
2                                    2  ",2
33,8,complete,"Colors_String  green, green, green  green, red, red, red, red, red  \
Cluster                                                              
1                                2                               0   
2                                0                               1   

Colors_String  green, red, red, red, red, red, red  \
Cluster                                              
1                                                0   
2                                                1   

Colors_String  red, green, green, green, green  red, red  red, red, red, red  \
Cluster                                                                        
1                                            5         0                   0   
2                                            0         1                   6   

Colors_String  red, red, red, red, red  
Cluster                                 
1                                    0  
2                                    2  ",2
34,8,average,"Colors_String  green, green, green  green, red, red, red, red, red  \
Cluster                                                              
1                                2                               0   
2                                0                               1   

Colors_String  green, red, red, red, red, red, red  \
Cluster                                              
1                                                0   
2                                                1   

Colors_String  red, green, green, green, green  red, red  red, red, red, red  \
Cluster                                                                        
1                                            5         0                   0   
2                                            0         1                   6   

Colors_String  red, red, red, red, red  
Cluster                                 
1                                    0  
2                                    2  ",2
35,8,ward,"Colors_String  green, green, green  green, red, red, red, red, red  \
Cluster                                                              
1                                2                               0   
2                                0                               1   

Colors_String  green, red, red, red, red, red, red  \
Cluster                                              
1                                                0   
2                                                1   

Colors_String  red, green, green, green, green  red, red  red, red, red, red  \
Cluster                                                                        
1                                            5         0                   0   
2                                            0         1                   6   

Colors_String  red, red, red, red, red  
Cluster                                 
1                                    0  
2                                    2  ",2
36,9,single,"Colors_String  green, green, green  green, green, green, green  \
Cluster                                                          
1                                1                           1   
2                                0                           0   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              2   
2                                              0   

Colors_String  green, green, green, green, green, green  green, red, red, red  \
Cluster                                                                         
1                                                     2                     0   
2                                                     0                     2   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      0   
2                                     10   

Colors_String  red, green, green, green, green, green, green  red, red  \
Cluster                                                                  
1                                                          2         0   
2                                                          0         3   

Colors_String  red, red, red  
Cluster                       
1                          0  
2                          2  ",2
37,9,complete,"Colors_String  green, green, green  green, green, green, green  \
Cluster                                                          
1                                1                           1   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              2   

Colors_String  green, green, green, green, green, green  green, red, red, red  \
Cluster                                                                         
1                                                     2                     2   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                     10   

Colors_String  red, green, green, green, green, green, green  red, red  \
Cluster                                                                  
1                                                          2         3   

Colors_String  red, red, red  
Cluster                       
1                          2  ",2
38,9,average,"Colors_String  green, green, green  green, green, green, green  \
Cluster                                                          
1                                1                           1   
2                                0                           0   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              2   
2                                              0   

Colors_String  green, green, green, green, green, green  green, red, red, red  \
Cluster                                                                         
1                                                     2                     0   
2                                                     0                     2   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      0   
2                                     10   

Colors_String  red, green, green, green, green, green, green  red, red  \
Cluster                                                                  
1                                                          2         0   
2                                                          0         3   

Colors_String  red, red, red  
Cluster                       
1                          0  
2                          2  ",2
39,9,ward,"Colors_String  green, green, green  green, green, green, green  \
Cluster                                                          
1                                1                           1   
2                                0                           0   

Colors_String  green, green, green, green, green  \
Cluster                                            
1                                              2   
2                                              0   

Colors_String  green, green, green, green, green, green  green, red, red, red  \
Cluster                                                                         
1                                                     2                     0   
2                                                     0                     2   

Colors_String  green, red, red, red, red  \
Cluster                                    
1                                      0   
2                                     10   

Colors_String  red, green, green, green, green, green, green  red, red  \
Cluster                                                                  
1                                                          2         0   
2                                                          0         3   

Colors_String  red, red, red  
Cluster                       
1                          0  
2                          2  ",2
